 frame 	 train 	 tail 	 loops 
  760  	  183  	  0   	   0   
  761  	  182  	  0   	   1   
  762  	  183  	  0   	   0   
  763  	  183  	  0   	   0   
  764  	  182  	  0   	   1   
  765  	  183  	  0   	   0   
  766  	  183  	  0   	   0   
  767  	  183  	  0   	   0   
  768  	  183  	  0   	   0   
  769  	  183  	  0   	   0   
  770  	  183  	  0   	   0   
  771  	  181  	  2   	   0   
  772  	  183  	  0   	   0   
  773  	  181  	  0   	   2   
  774  	  183  	  0   	   0   
  775  	  182  	  0   	   1   
  776  	  183  	  0   	   0   
  777  	  183  	  0   	   0   
  778  	  182  	  1   	   0   
  779  	  183  	  0   	   0   
  780  	  178  	  0   	   5   
  781  	  181  	  1   	   1   
  782  	  183  	  0   	   0   
  783  	  179  	  0   	   4   
  784  	  183  	  0   	   0   
  785  	  183  	  0   	   0   
  786  	  183  	  0   	   0   
  787  	  177  	  0   	   6   
  788  	  183  	  0   	   0   
  789  	  183  	  0   	   0   
  790  	  183  	  0   	   0   
  791  	  182  	  0   	   1   
  792  	  182  	  0   	   1   
  793  	  178  	  0   	   5   
  794  	  183  	  0   	   0   
  795  	  183  	  0   	   0   
  796  	  183  	  0   	   0   
  797  	  183  	  0   	   0   
  798  	  183  	  0   	   0   
  799  	  183  	  0   	   0   
  800  	  183  	  0   	   0   
  801  	  183  	  0   	   0   
  802  	  183  	  0   	   0   
  803  	  183  	  0   	   0   
  804  	  183  	  0   	   0   
  805  	  183  	  0   	   0   
  806  	  183  	  0   	   0   
  807  	  183  	  0   	   0   
  808  	  183  	  0   	   0   
  809  	  183  	  0   	   0   
  810  	  183  	  0   	   0   
  811  	  183  	  0   	   0   
  812  	  183  	  0   	   0   
  813  	  183  	  0   	   0   
  814  	  183  	  0   	   0   
  815  	  183  	  0   	   0   
  816  	  183  	  0   	   0   
  817  	  183  	  0   	   0   
  818  	  183  	  0   	   0   
  819  	  183  	  0   	   0   
  820  	  183  	  0   	   0   
  821  	  183  	  0   	   0   
  822  	  183  	  0   	   0   
  823  	  183  	  0   	   0   
  824  	  183  	  0   	   0   
  825  	  183  	  0   	   0   
  826  	  183  	  0   	   0   
  827  	  183  	  0   	   0   
  828  	  183  	  0   	   0   
  829  	  183  	  0   	   0   
  830  	  183  	  0   	   0   
  831  	  183  	  0   	   0   
  832  	  183  	  0   	   0   
  833  	  183  	  0   	   0   
  834  	  183  	  0   	   0   
  835  	  182  	  0   	   1   
  836  	  182  	  0   	   1   
  837  	  183  	  0   	   0   
  838  	  183  	  0   	   0   
  839  	  183  	  0   	   0   
  840  	  183  	  0   	   0   
  841  	  183  	  0   	   0   
  842  	  183  	  0   	   0   
  843  	  183  	  0   	   0   
  844  	  183  	  0   	   0   
  845  	  183  	  0   	   0   
  846  	  183  	  0   	   0   
  847  	  183  	  0   	   0   
  848  	  183  	  0   	   0   
  849  	  183  	  0   	   0   
  850  	  183  	  0   	   0   
  851  	  183  	  0   	   0   
  852  	  182  	  0   	   1   
  853  	  178  	  0   	   5   
  854  	  182  	  0   	   1   
  855  	  181  	  0   	   2   
  856  	  179  	  1   	   3   
  857  	  180  	  0   	   3   
  858  	  183  	  0   	   0   
  859  	  183  	  0   	   0   
  860  	  182  	  0   	   1   
  861  	  183  	  0   	   0   
  862  	  180  	  0   	   3   
  863  	  183  	  0   	   0   
  864  	  182  	  0   	   1   
  865  	  183  	  0   	   0   
